label,name,url,r,collab_in,components,n_seg,r_bin,norm
,Jare & VilleGalle,https://www.last.fm/music/Jare+&+VilleGalle,0.854,1624,jare (in=42); villegalle (in=1901),2,"[0.80,1.00)",jare & villegalle
,"Blood Orange, Caroline Polachek, Lorde, Mustafa","https://www.last.fm/music/Blood+Orange,+Caroline+Polachek,+Lorde,+Mustafa",0.856,1214,blood orange (in=859); caroline polachek (in=1257); lorde (in=1418); mustafa (in=750),4,"[0.80,1.00)","blood orange, caroline polachek, lorde, mustafa"
,"Ele A, Nerissima Serpe","https://www.last.fm/music/Ele+A,+Nerissima+Serpe",0.858,1078,ele a (in=1257); nerissima serpe (in=738),2,"[0.80,1.00)","ele a, nerissima serpe"
,JENNIE & FKJ,https://www.last.fm/music/JENNIE+&+FKJ,0.859,978,jennie (in=739); fkj (in=1139),2,"[0.80,1.00)",jennie & fkj
,Tommy Boyce & Bobby Hart,https://www.last.fm/music/Tommy+Boyce+&+Bobby+Hart,0.866,600,tommy boyce (in=693); bobby hart (in=335),2,"[0.80,1.00)",tommy boyce & bobby hart
,Rogers & Dean,https://www.last.fm/music/Rogers+&+Dean,0.869,1177,rogers (in=524); dean (in=1355),2,"[0.80,1.00)",rogers & dean
,Pulstate & Juventa,https://www.last.fm/music/Pulstate+&+Juventa,0.872,340,pulstate (in=390); juventa (in=284),2,"[0.80,1.00)",pulstate & juventa
,Pablo Denegri / Sebastian Cohen,https://www.last.fm/music/Pablo+Denegri+%2F+Sebastian+Cohen,0.885,216,pablo denegri (in=244); sebastian cohen (in=2),2,"[0.80,1.00)",pablo denegri / sebastian cohen
,Vicci Martinez & Niki Dawson,https://www.last.fm/music/Vicci+Martinez+&+Niki+Dawson,0.887,251,vicci martinez (in=283); niki dawson (in=207),2,"[0.80,1.00)",vicci martinez & niki dawson
,Mama Aiuto & Daphné,https://www.last.fm/music/Mama+Aiuto+&+Daphn%C3%A9,0.905,1137,mama aiuto (in=1257); daphne (in=459),2,"[0.80,1.00)",mama aiuto & daphne
,Reminder feat. Brad Hooks,https://www.last.fm/music/Reminder+feat.+Brad+Hooks,0.906,221,reminder (in=244); brad hooks (in=11),2,"[0.80,1.00)",reminder feat. brad hooks
,"Andrew Underberg, Sam Haft, Alex Brightman, Erika Henningsen","https://www.last.fm/music/Andrew+Underberg,+Sam+Haft,+Alex+Brightman,+Erika+Henningsen",0.908,476,andrew underberg (in=524); sam haft (in=233); alex brightman (in=404); erika henningsen (in=520),4,"[0.80,1.00)","andrew underberg, sam haft, alex brightman, erika henningsen"
,XV feat. Irv Da Phenom,https://www.last.fm/music/XV+feat.+Irv+Da+Phenom,0.909,299,xv (in=249); irv da phenom (in=329),2,"[0.80,1.00)",xv feat. irv da phenom
,NAEUN & JINSOL,https://www.last.fm/music/NAEUN+&+JINSOL,0.911,439,naeun (in=24); jinsol (in=482),2,"[0.80,1.00)",naeun & jinsol
,"Pilar Lorengar, Orchestra dell'Accademia Nazionale di Santa Cecilia & Giuseppe Patanè","https://www.last.fm/music/Pilar+Lorengar,+Orchestra+dell%27Accademia+Nazionale+di+Santa+Cecilia+&+Giuseppe+Patan%C3%A8",0.915,454,pilar lorengar (in=482); orchestra dell'accademia nazionale di santa cecilia (in=496); giuseppe patane (in=264),3,"[0.80,1.00)","pilar lorengar, orchestra dell'accademia nazionale di santa cecilia & giuseppe patane"
,kemu feat. IA,https://www.last.fm/music/kemu+feat.+IA,0.939,846,kemu (in=901); ia (in=675),2,"[0.80,1.00)",kemu feat. ia
,Kyle Hall & Kero,https://www.last.fm/music/Kyle+Hall+&+Kero,0.947,588,kyle hall (in=240); kero (in=621),2,"[0.80,1.00)",kyle hall & kero
,Kyle Wytchwood & Andy Vilo,https://www.last.fm/music/Kyle+Wytchwood+&+Andy+Vilo,0.956,303,kyle wytchwood (in=317); andy vilo (in=20),2,"[0.80,1.00)",kyle wytchwood & andy vilo
,Shaban & Käptn Peng,https://www.last.fm/music/Shaban+&+K%C3%A4ptn+Peng,0.963,1709,shaban (in=1775); kaptn peng (in=508),2,"[0.80,1.00)",shaban & kaptn peng
,Shift Feat. Franca Morgano,https://www.last.fm/music/Shift+Feat.+Franca+Morgano,0.980,250,shift (in=116); franca morgano (in=255),2,"[0.80,1.00)",shift feat. franca morgano
,Dyro & Dannic,https://www.last.fm/music/Dyro+&+Dannic,1.024,718,dyro (in=488); dannic (in=701),2,HIGH(>=1.0),dyro & dannic
,"Miksu / Macloud, t-low","https://www.last.fm/music/Miksu+%2F+Macloud,+t-low",1.033,1297,miksu (in=630); macloud (in=3); t-low (in=1255),3,HIGH(>=1.0),"miksu / macloud, t-low"
,"Barbara Barrie, Beth Howland, Merle Louise, Teri Ralston & Elaine Stritch","https://www.last.fm/music/Barbara+Barrie,+Beth+Howland,+Merle+Louise,+Teri+Ralston+&+Elaine+Stritch",1.046,273,barbara barrie (in=20); beth howland (in=40); merle louise (in=89); teri ralston (in=71); elaine stritch (in=261),5,HIGH(>=1.0),"barbara barrie, beth howland, merle louise, teri ralston & elaine stritch"
,"Тони Раут, Гарри Топор","https://www.last.fm/music/%D0%A2%D0%BE%D0%BD%D0%B8+%D0%A0%D0%B0%D1%83%D1%82,+%D0%93%D0%B0%D1%80%D1%80%D0%B8+%D0%A2%D0%BE%D0%BF%D0%BE%D1%80",1.137,881,toni raut (in=775); garri topor (in=643),2,HIGH(>=1.0),"toni raut, garri topor"
,"Marshall Lee, Fionna and Cake","https://www.last.fm/music/Marshall+Lee,+Fionna+and+Cake",1.154,15,marshall lee (in=13); fionna and cake (in=1),2,HIGH(>=1.0),"marshall lee, fionna and cake"
,Tadeusz Nalepa + Dżem,https://www.last.fm/music/Tadeusz+Nalepa+%252B+D%C5%BCem,1.202,1679,tadeusz nalepa (in=1397); dzem (in=1044),2,HIGH(>=1.0),tadeusz nalepa + dzem
,"Leslie Grace, Noriel","https://www.last.fm/music/Leslie+Grace,+Noriel",1.547,571,leslie grace (in=369); noriel (in=336),2,HIGH(>=1.0),"leslie grace, noriel"
,"Anti-Herói, sh1ft","https://www.last.fm/music/Anti-Her%C3%B3i,+sh1ft",1.956,579,anti-heroi (in=233); sh1ft (in=296),2,HIGH(>=1.0),"anti-heroi, sh1ft"
,Denis Couldry & The Next Collection,https://www.last.fm/music/Denis+Couldry+&+The+Next+Collection,2.550,102,denis couldry (in=40); the next collection (in=2),2,HIGH(>=1.0),denis couldry & the next collection
,Bvoice & KHz,https://www.last.fm/music/Bvoice+&+KHz,2.788,736,bvoice (in=264); khz (in=160),2,HIGH(>=1.0),bvoice & khz
,"Kamień, Kamień, Kamień","https://www.last.fm/music/Kamie%C5%84,+Kamie%C5%84,+Kamie%C5%84",3.091,272,kamien (in=88); kamien (in=88); kamien (in=88),3,HIGH(>=1.0),"kamien, kamien, kamien"
,Sonic & Silver,https://www.last.fm/music/Sonic+&+Silver,3.911,2100,sonic (in=285); silver (in=537),2,HIGH(>=1.0),sonic & silver
,"Tyler, The Creator, Lil Wayne","https://www.last.fm/music/Tyler,+The+Creator,+Lil+Wayne",4.044,1751,tyler (in=156); the creator (in=433); lil wayne (in=4),3,HIGH(>=1.0),"tyler, the creator, lil wayne"
,"Dialektik Verbal, Dysto BPM, Layem","https://www.last.fm/music/Dialektik+Verbal,+Dysto+BPM,+Layem",6.905,290,dialektik verbal (in=10); dysto bpm (in=42); layem (in=11),3,HIGH(>=1.0),"dialektik verbal, dysto bpm, layem"
,Hansson & Karlsson,https://www.last.fm/music/Hansson+&+Karlsson,12.024,998,hansson (in=17); karlsson (in=83),2,HIGH(>=1.0),hansson & karlsson
