label,kind,variant,variant_id,canonical,canonical_id,variant_in,canonical_in
,skel,"Adib Sin, Azuria Sky, B. L. Hav",83d2ddfd-5122-51ed-b9cd-34b15a99d285,Adib Sin/Azuria Sky/B. L. Hav,d7a48f01-8231-54e8-bd76-9ce073c69a53,1,2
,skel,Philippe Ménard,7f2677d0-6a6f-46e1-8a0e-e3de40464136,Philippe Menard,71eb5147-3ff1-5d9a-b630-b8585bb25406,257,298
,skel,India.Arie/Musiq Soulchild,4d3897e8-8908-5c55-997e-ac4c82913fae,India.Arie & Musiq Soulchild,f1783048-4d79-5e4f-b1eb-544f1c60113b,1,107
,skel,パトリシア・マーティン（ささきのぞみ）,823257ff-c132-5250-902d-b08a7e136773,パトリシア・マーティン(ささきのぞみ),77f34688-3b95-5458-bc11-ca82e783fc46,7,192
,skel,DaBaby; Lil Baby; Moneybagg Yo,4db1531a-ba12-522f-a519-62cd81dd8b83,"DaBaby, Lil Baby, Moneybagg Yo",f5635e1a-9045-576b-a6db-efe2d0b095d9,53,107
,skel,T-Swizzle,160c8a7b-70a7-5367-929e-2f60583728d5,T Swizzle,8213d68e-1d10-5e6c-80af-782fa83613b1,49,79
,skel,Ana Mena/Belinda,e7c9af14-6749-5c67-b3e1-345a368e8420,Ana Mena & Belinda,ab5bf885-872a-5a9e-8398-5cf3bc9e3198,4,1501
,skel,"Ximena Sariñana, Ximena Chiunti",1aadc1c0-8cee-5494-b523-0bcf1cc19cde,Ximena Sariñana & Ximena Chiunti,1913905e-e2cb-559a-b15b-e7d00214651c,1,10
,skel,☆Filip☆,eea89877-8dab-5a6b-bbb2-936b96f800b4,Filip,312e48e5-9993-484e-89b9-26bdbd1b006d,7,87
,skel,coz?,9633eccd-4158-5493-b429-1c0d9d04a79d,Coz,bc0c9491-ecbf-444a-b21a-b9d711fe1720,3,872
,skel,Pex 'Mahoney' Tufvesson,886143c0-87c9-52b4-b89e-f3e0e8d3d0d6,"Pex ""Mahoney"" Tufvesson",e90ccbfa-7f84-5662-a76c-3140f542943c,1,311
,skel,NTR€$,0601886c-7b4b-5550-a0fb-17017965fc76,NTR,475c0934-c22e-4ee1-98f5-902485473b8d,10,258
,skel,"Nxworries & Anderson .paak & Knxwledge & The Last Artful, Dodgr",d3d84e01-613b-5e31-9d44-9773ef2700b3,"NxWorries, Anderson .Paak, Knxwledge, The Last Artful, Dodgr",abb68047-40f5-5b4e-b25c-a7a17e202e4a,2,234
,skel,"The Philly Specials, Devon Gilfillian",c4d4c4c5-854c-5b2e-b80e-35c8b799813d,The Philly Specials & Devon Gilfillian,bc818b06-367a-5a08-9597-fc324d057093,3,12
,skel,"Vize, Leony",5ce85c36-0cab-5c60-b92b-4af595620293,Vize & Leony,8065c858-4c5c-51b8-852c-7909852592ba,515,695
,skel,минута агонии & Decalius,14c16191-bcaa-58b9-9133-b9bfd45a4038,"минута агонии, Decalius",0fcd6314-d1bf-521d-9202-9134fd958798,25,72
,skel,Eminem [feat. Steve Berman],e7d828b9-99ff-5c8f-876f-29e138829b94,Eminem feat. Steve Berman,343e0ff3-bfe4-5cec-983a-bc694b673d7f,4,10
,skel,"Filous, Ashe",fe8b19ad-5d20-530d-88e7-60bfbfe68139,Filous & Ashe,e1e0fbb5-fa17-58d1-bff5-9abf95cf440b,17,53
,skel,Jhene Aiko & Kendrick Lamar,68d0f584-ad17-5b87-8cf5-434b93e12115,"Jhené Aiko, Kendrick Lamar",3145bba1-867f-5e94-9712-60e8721f4ae7,1,734
,skel,Tito El Bambino & Yandel,d69edce7-81aa-5298-b6ed-4bcc487e5cff,"Tito El Bambino, Yandel",b68265df-7063-569a-9c8d-0a11519206e9,1,82
,skel,"Shankar-Ehsaan-Loy, Shivam Mahadevan & Jonita Gandhi",41a2e875-71ea-5185-9547-819d7a78a8a7,"Shankar Ehsaan Loy, Shivam Mahadevan & Jonita Gandhi",e54de91a-a1be-5a9d-b72d-371763a9c237,7,53
,skel,Tim Presley’s White Fence,beb8cc55-b3a6-5471-a528-b1dba03155dd,Tim Presley's White Fence,26256911-dda4-580c-9e01-be699549fd48,1,130
,skel,JUNG YONG HWA (CNBLUE),9e65f0a1-fbdb-5048-9cc4-6e08635d597a,Jung Yong Hwa(CNBLUE),074e9493-bc84-5a74-9cb3-2d0e7ca99f5f,47,120
,skel,Robin & HOYO-MiX & Chevy,0d4438c6-749d-5d28-9b7a-b3e3f8517861,"Robin, HOYO-MiX, Chevy",df18564b-56c7-5793-980c-589f1b390506,16,1008
,skel,Féa,ce217cd3-d94b-5632-b556-2921c136112d,Fea,49cf82ed-3aad-433f-9ebb-466f84a217a6,31,295
,skel,"Olivier Desmet, Oriental Funk Stew",dcb9b84b-cdde-5d9b-b987-fd83d74aed4c,Olivier Desmet & Oriental Funk Stew,fac7b7c1-68c2-5123-a3fc-1c6207246651,5,113
,skel,王菲、邓丽君,c33ae66e-7add-542f-a83b-41a00e6f4191,王菲 & 邓丽君,6058e2dd-5942-5e98-9ef9-267cc00d09b8,3,8
